BARCODE,NAMA BARANG,,BRAND,KATEGORI,SUB KATEGORI, STOK , HPP , HARGA JUAL , MULAI DARI 1 , SAMPAI DENGAN 1 , TINGKAT 1 , MULAI DARI 2 , SAMPAI DENGAN 2 , TINGKAT 2 , MULAI DARI 3 , SAMPAI DENGAN 3 , TINGKAT 3 , MULAI DARI 4 , SAMPAI DENGAN 4 , TINGKAT 4 ,KATEGORI PELANGGAN,HARGA KATEGORI
,Alas bunga mk,,,ALAS BUNGA MK,,,13450,17000,10,24,16006,25,99999,15468,,, - ,,, - ,Spesial,1000
,Alas dos snack,,,ALAS DOS SNACK,,,1000,2000,,, - ,,, - ,,, - ,,, - ,Spesial,1001
,Alas wp 20x20,,,ALAS WP MERAH,,,8250,11500,10,29,10725,30,39,10313,40,99999,9900,,, - ,Spesial,1002
,Alas wp 22x22,,,ALAS WP MERAH,,,10000,14000,10,29,13000,30,39,12500,40,99999,12000,,, - ,Spesial,1003
,Btl 330 ml,,,BOTOL,,,831,1300,50,99,1256,100,499,1128,500,99999,1050,,, - ,Spesial,1004
,Btl almond 250 ml,,,BOTOL,,,979,1400,50,99,1290,100,499,1223,500,99999, - ,,, - ,Spesial,1005
,Bubble pack h,,,BUBBLE PACK,,,96000,150000,5,99999,135000,,,120450,,, - ,,, - ,Spesial,1006
,Bubble pack h ec,,,BUBBLE PACK,,,2000,4500,10,99999,4000,,, - ,,, - ,,, - ,Spesial,1007
,Bubble pack p,,,BUBBLE PACK,,,173000,275000,5,99999,260000,,,219000,,, - ,,, - ,Spesial,1008
,Bubble pack p ec,,,BUBBLE PACK,,,2000,4500,10,99999,4000,,, - ,,, - ,,, - ,Spesial,1009
,Bubble pack p sip,,,BUBBLE PACK,,,150000,275000,5,99999,260000,,, - ,,, - ,,, - ,Spesial,1010
,Catering Set @50,,,CATERING SET,,,13500,17000,10,29,16630,30,99999,16261,,, - ,,, - ,Spesial,1011
,Ceting/wakul,,,CETING,,,1165,2300,120,99999,2088,,, - ,,, - ,,, - ,Spesial,1012
,Cup 120 ml Fby,,,CUP 120 ML,,,4188,6500,10,29,5277,30,39,5026,40,99999,4816,,, - ,Spesial,1013
,Cup 120 ml pls,,,CUP 120 ML,,,4188,6500,10,29,5277,30,39,5026,40,99999,4816,,, - ,Spesial,1014
,Cup bg 70 ml,,,CUP AGER BANGAU,,,2888,4500,10,29,3523,30,79,3379,80,99999,3292,,, - ,Spesial,1015
,Cup bg 90 ml,,,CUP AGER BANGAU,,,2888,4500,10,29,3523,30,79,3379,80,99999,3292,,, - ,Spesial,1016
,Cup injection 24 oz,,,CUP INJECTION,,,25325,31000,10,19,30000,20,99999,28700,,, - ,,, - ,Spesial,1017
,Ttp Lid injection,,,CUP INJECTION,,,7138,8500,10,19,8209,20,99999,7852,,, - ,,, - ,Spesial,1018
,Cup ns 70 ml ulir,,,CUP NS,,,8188,10500,10,29,9826,30,39,9416,40,99999,9007,,, - ,Spesial,1019
,Cup bg 10 oz,,,CUP OZ BANGAU,,,6375,8500,10,29,7778,30,39,7491,40,99999,7331,,, - ,Spesial,1020
,Cup bg 12 oz,,,CUP OZ BANGAU,,,6375,8500,10,29,7778,30,39,7491,40,99999,7331,,, - ,Spesial,1021
,Cup bg 14 oz,,,CUP OZ BANGAU,,,6375,8500,10,29,7778,30,39,7491,40,99999,7331,,, - ,Spesial,1022
,Cup bg 16 oz,,,CUP OZ BANGAU,,,6375,8500,10,29,7778,30,39,7491,40,99999,7331,,, - ,Spesial,1023
,Cup meong 22 oz (7 gram),,,CUP OZ MERAK,,,10600,14500,10,19,13538,20,99999,12347,,, - ,,, - ,Spesial,1024
,Cup meong 22 oz (8 gram),,,,,,11350,15500,10,19,14688,20,99999,13395,,,,,,,Spesial,1025
,Cup mrk 10 oz,,,CUP OZ MERAK,,,6875,9000,10,29,8388,30,39,8044,40,99999,7838,,, - ,Spesial,1026
,Cup mrk 12 oz,,,CUP OZ MERAK,,,6875,9000,10,29,8388,30,39,8044,40,99999,7838,,, - ,Spesial,1027
,Cup mrk 14 oz,,,CUP OZ MERAK,,,6875,9000,10,29,8388,30,39,8044,40,99999,7838,,, - ,Spesial,1028
,Cup mrk 16 oz,,,CUP OZ MERAK,,,6875,9000,10,29,8388,30,39,8044,40,99999,7838,,, - ,Spesial,1029
,Cup mrk 16 oz oval 8 gr,,,CUP OZ MERAK,,,12000,16000,10,19,15000,20,99999,14040,,, - ,,, - ,,
,Cup mrk 16 oz oval 7 gr,,,CUP OZ MERAK,,,11250,15000,10,19,14063,20,99999,13163,,, - ,,, - ,,
,Cup mrk 18 oval 7 gr,,,CUP OZ MERAK,,,11250,15000,10,19,14063,20,99999,13163,,, - ,,, - ,,
,"Cup mrk 18 oz 9,5 gr",,,CUP OZ MERAK,,,14750,18500,10,19,17700,20,99999,16963,,, - ,,, - ,,
,Cup mrk 18 oz 7 gr,,,CUP OZ MERAK,,,11250,15000,10,19,14063,20,99999,13163,,, - ,,, - ,,
,"Cup mrk 18 oz oval 9,5 gr",,,CUP OZ MERAK,,,14750,18500,10,19,17700,20,99999,16963,,, - ,,, - ,,
,"Cup mrk 22 oz 9,5 gr",,,CUP OZ MERAK,,,14750,18500,10,19,17700,20,99999,16963,,, - ,,, - ,,
,Cup mrk 22 oz 7 gr,,,CUP OZ MERAK,,,11250,15000,10,19,14063,20,99999,13163,,, - ,,, - ,,
,"Cup mrk 22 oz oval 9,5 gr",,,CUP OZ MERAK,,,14750,18500,10,19,17700,20,99999,16963,,, - ,,, - ,,
,Cup mrk 22 oz slim 7 gr,,,CUP OZ MERAK,,,11250,15000,10,19,14063,20,99999,13163,,, - ,,, - ,,
,Cup mrk 22 oz slim 8 gr,,,CUP OZ MERAK,,,12000,16000,10,19,15000,20,99999,14040,,, - ,,, - ,,
,Cup strd 16 oz 7 gr,,,CUP OZ STARINDO,,,11250,15000,10,19,14063,20,99999,13163,,, - ,,, - ,,
,Cup sbl suapi 25ml,,,CUP SAMBAL SUAPI,,,7081,11000,10,23,10550,24,99999,10100,,, - ,,, - ,,
,Cup sbl suapi 35ml,,,CUP SAMBAL SUAPI,,,8395,13000,10,23,12350,24,99999,11800,,, - ,,, - ,,
,Cup 100 ml ulir,,,CUP ULIR,,,10868,13500,10,19,12824,20,99999,12118,,, - ,,, - ,,
,Cup 100 ml victory @50,,,CUP VICTORY,,,16305,20500,10,19,19077,20,99999,18099,,, - ,,, - ,,
,Cup 150 ml victory @25,,,CUP VICTORY,,,8978,11500,10,29,10774,30,39,10325,40,99999,9966,,, - ,,
,"Dolley paper 4,5 grade",,,DOLLEY PAPER,,,11682,13000,4,7,12421,8,99999,11866,,, - ,,, - ,,
,"Dolley paper 6,5 grade",,,DOLLEY PAPER,,,20233,23500,4,7,22864,8,99999,21650,,, - ,,, - ,,
,"Dolley paper 7,5 grade",,,DOLLEY PAPER,,,22531,26500,4,7,25235,8,99999,24108,,, - ,,, - ,,
,"Dolley paper 8,5 grade",,,DOLLEY PAPER,,,31862,37500,4,7,35685,8,99999,34092,,, - ,,, - ,,
,D 14x14/310,,,DOS 310,,,347,486,100,499,434,500,999,425,1000,99999,416,,, - ,,
,D 15x15/310,,,DOS 310,,,403,564,100,499,504,500,999,494,1000,99999,484,,, - ,,
,D 16x16/310,,,DOS 310,,,426,596,100,499,533,500,999,522,1000,99999,511,,, - ,,
,D 17x17/310,,,DOS 310,,,490,686,100,499,613,500,999,600,1000,99999,588,,, - ,,
,D 18x18/310,,,DOS 310,,,493,690,100,499,616,500,999,604,1000,99999,592,,, - ,,
,D 20x20/310,,,DOS 310,,,594,832,100,499,743,500,999,728,1000,99999,713,,, - ,,
,D 22x22/310,,,DOS 310,,,713,998,100,499,891,500,999,873,1000,99999,856,,, - ,,
,D 16x16/cot,,,DOS COTED,,,717,1040,100,499,932,500,999,925,1000,99999,918,,, - ,,
,D 18x18/cot,,,DOS COTED,,,840,1218,100,499,1092,500,999,1084,1000,99999,1075,,, - ,,
,D 20x20/cot,,,DOS COTED,,,1008,1462,100,499,1310,500,999,1300,1000,99999,1290,,, - ,,
,D 22x22/cot,,,DOS COTED,,,1142,1656,100,499,1485,500,999,1473,1000,99999,1462,,, - ,,
,D 24x24/cot,,,DOS COTED,,,1333,1800,100,499,1733,500,999,1720,1000,99999,1706,,, - ,,
,D 25x25/cot,,,DOS COTED,,,1534,2071,100,499,1994,500,999,1979,1000,99999,1964,,, - ,,
,D 16 Kraft tutup pisah,,,DOS KRAFT,,,388,621,100,499,563,500,999,543,1000,99999,524,,, - ,,
,D 16 Kraft tutup sambung,,,DOS KRAFT,,,798,1077,100,499,966,500,999,954,1000,99999,942,,, - ,,
,D 18 kraft tutup pisah,,,DOS KRAFT,,,454,726,100,499,658,500,999,636,1000,99999,613,,, - ,,
,D 20 kraft non window,,,DOS KRAFT,,,983,1200,100,499,1090,500,999,1060,1000,99999, - ,,, - ,,
,D 20 kraft tutup pisah,,,DOS KRAFT,,,520,848,100,499,769,500,999,742,1000,99999,716,,, - ,,
,D 12x12 ufe motif,,,DOS SNACK,,,567,740,100,499,716,500,999,701,1000,99999,687,,, - ,,
,D 12x16 ufe motif,,,DOS SNACK,,,619,785,100,499,753,500,999,741,1000,99999,728,,, - ,,
,D 18x18 batik tutup sambung,,,DOS KRAFT,,,635,857,100,499,810,500,999,794,1000,99999,762,,, - ,,
,D 3 snack Kraft,,,DOS SNACK,,,231,454,100,499,412,500,999,398,1000,99999,383,,, - ,,
,D 3 snack motif bkc,,,DOS SNACK,,,423,600,100,499,572,500,999,563,1000,99999,553,,, - ,,
,D 3 snack/310,,,DOS SNACK,,,258,400,100,499,374,500,999,368,1000,99999,361,,, - ,,
,D 3 snack/wrn,,,DOS SNACK,,,525,709,100,499,688,500,999,680,1000,99999,672,,, - ,,
,D AQT batik,,,DOS SNACK,,,390,600,100,499,581,500,999,550,1000,99999,526,,, - ,,
,D aqt motif,,,DOS SNACK,,,550,775,100,499,750,500,999,736,1000,99999,720,,, - ,,
,D Aqua Kraft,,,DOS SNACK,,,292,581,100,499,526,500,999,508,1000,99999,490,,, - ,,
,D aqua/310,,,DOS SNACK,,,370,518,100,499,485,500,999,479,1000,99999,474,,, - ,,
,D aqua/cot,,,DOS SNACK,,,505,657,100,499,636,500,999,624,1000,99999,611,,, - ,,
,D aqua/wrn,,,DOS SNACK,,,663,796,100,499,762,500,999,749,1000,99999,736,,, - ,,
,D R13 Kraft,,,DOS SNACK,,,227,454,100,499,412,500,999,398,1000,99999,383,,, - ,,
,D R13x10 bunga,,,DOS SNACK,,,525,709,100,499,688,500,999,680,1000,99999,672,,, - ,,
,D renda,,,DOS SNACK,,,192,317,100,499,287,500,999,277,1000,99999,267,,, - ,,
,D 16x16/wrn,,,DOS WARNA/MOTIF,,,773,1121,100,499,1005,500,999,997,1000,99999,989,,, - ,,
,D 18 tap motif,,,DOS WARNA/MOTIF,,,990,1350,100,499,1275,500,999,1235,1000,99999,1200,,, - ,,
,D 18x18/wrn,,,DOS WARNA/MOTIF,,,907,1315,100,499,1179,500,999,1170,1000,99999,1161,,, - ,,
,D 20 tap motif,,,DOS WARNA/MOTIF,,,1082,1638,100,499,1580,500,999,1486,1000,99999,1406,,, - ,,
,D 20x20/wrn,,,DOS WARNA/MOTIF,,,1225,1776,100,499,1593,500,999,1580,1000,99999,1568,,, - ,,
,D 22x22/wrn,,,DOS WARNA/MOTIF,,,1545,2240,100,499,2009,500,999,1993,1000,99999,1978,,, - ,,
,D. martabak,,,DOS WARNA/MOTIF,,,800,1000,100,499,938,500,999,913,1000,99999, - ,,, - ,,
,Gls aqua mrk,,,GELAS AQUA,,,4188,6500,10,29,5277,30,39,5026,40,99999,4816,,, - ,,
,Gls frutang mrk,,,GELAS AQUA,,,4188,6500,10,29,5277,30,39,5026,40,99999,4816,,, - ,,
,"Hd 2,5 kg 05 polos",,,HD 05,,,24343,30000,10,29,28835,30,99999,27995,,, - ,,, - ,,
,HD 5 kg 05 polos,,,HD 05,,,40824,50000,10,24,48356,25,99999,46948,,, - ,,, - ,,
,HD 5 KG 06 Polos,,,HD 06,,,40783,50000,10,24,48400,25,99999,47000,,, - ,,, - ,,
,Hd boyo 1 kg 0.15,,,HD BOYO,,,2668,3500,10,29,2881,30,399,2855,400,99999,2828,,, - ,,
,Hd boyo 1 kg 02,,,HD BOYO,,,4294,5000,10,29,4638,30,74,4595,75,99999,4552,,, - ,,
,Hd boyo 1/2 kg 0.15,,,HD BOYO,,,1724,2000,10,29,1862,30,399,1845,400,99999,1827,,, - ,,
,Hd boyo 1/4 kg 0.15,,,HD BOYO,,,1173,1500,10,29,1325,30,399,1284,400,99999,1243,,, - ,,
,"Hd boyo 18x27 0,15",,,HD BOYO,,,3460,4000,10,29,3737,30,99,3702,100,99999,3668,,, - ,,
,Hd boyo 2 kg 0.1,,,HD BOYO,,,3437,4000,10,29,3712,30,99,3678,100,99999,3643,,, - ,,
,Hd boyo 2 kg 0.15,,,HD BOYO,,,4224,5000,10,29,4562,30,99,4520,100,99999,4477,,, - ,,
,Hd boyo 3 kg 0.1,,,HD BOYO,,,5279,6500,10,29,5701,30,49,5649,50,99999,5597,,, - ,,
,Hd camar 10 kg,,,HD CAMAR,,,20688,23500,10,29,23200,30,49,23000,50,99999,22800,,, - ,,
,Hd 25x30x02 kng,,,HD KUNING 25X30X02,,,250,300,,, - ,,, - ,,, - ,,, - ,,
,Hd lb 10 kg,,,HD LB,,,18304,23500,10,29,23190,30,99999,22574,,, - ,,, - ,,
,Hd lb 5 kg,,,HD LB,,,12320,15000,10,29,14479,30,39,14286,40,99999,14094,,, - ,,
,Hd lb 7 kg,,,HD LB,,,15488,19000,10,29,18616,30,39,18369,40,99999,18121,,, - ,,
,HD non plong 15x22,,,HD NON PLONG,,,8250,11000,10,29,10313,30,99,10024,100,99999,9735,,, - ,,
,HD non plong 20x30,,,HD NON PLONG,,,15787,20500,10,29,19734,30,79,19181,80,99999,18629,,, - ,,
,HD non plong 25x35,,,HD NON PLONG,,,24953,32500,10,29,31191,30,49,30318,50,99999,29445,,, - ,,
,HD non plong 30x40,,,HD NON PLONG,,,33814,44000,10,29,42268,30,39,41084,40,99999,39901,,, - ,,
,HD non plong 35x50,,,HD NON PLONG,,,46749,60000,10,24,58436,25,99999,56800,,, - ,,, - ,,
,Hd sobek laba-laba,,,HD SOBEK,,,59157,80000,10,99999,75000,,, - ,,, - ,,, - ,,
,Hd tic tas 10 kg,,,HD TIC TAS,,,22250,24800,10,29,24500,30,49,24200,50,99999,23900,,, - ,,
,Hd tic tas 5 kg,,,HD TIC TAS,,,14274,15900,10,29,15700,30,49,15500,50,99999,15300,,, - ,,
,Hd tic tas 60x100x035,,,HD TIC TAS,,,33911,36500,10,24,35800,25,99999,35400,,, - ,,, - ,,
,Hd tic tas 7 kg,,,HD TIC TAS,,,18043,20000,10,29,19750,30,49,19500,50,99999,19300,,, - ,,
,Isi stpls etona bsr,,,ISI STAPLES,,,3250,4500,10,29,3960,30,99999,3795,,, - ,,, - ,,
,isi stpls gw kcl,,,ISI STAPLES,,,1442,2500,10,29,1702,30,99999,1586,,, - ,,, - ,,
,Jh jc ank elmondo,,,JAS HUJAN,,,8000,10000,,, - ,,, - ,,, - ,,, - ,,
,Jh jc bicolor 234 R,,,JAS HUJAN,,,57165,62982,12,99999,61738,,, - ,,, - ,,, - ,,
,Jh jc harmony,,,JAS HUJAN,,,67000,75000,12,99999,73000,,, - ,,, - ,,, - ,,
,Jh jc kombinasi T212R,,,JAS HUJAN,,,57165,62982,12,99999,61738,,, - ,,, - ,,, - ,,
,Jh pl aurora,,,JAS HUJAN,,,58275,65000,12,99999,63300,,, - ,,, - ,,, - ,,
,Jh pl elmondo 703,,,JAS HUJAN,,,70000,80000,,, - ,,, - ,,, - ,,, - ,,
,Jh pl plevia,,,JAS HUJAN,,,50000,54000,12,23,53000,24,99999,51000,,, - ,,, - ,,
,Jh pl tribal,,,JAS HUJAN,,,58954,64854,12,99999,63674,,, - ,,, - ,,, - ,,
,Jh plc varia metalik,,,JAS HUJAN,,,70000,74445,12,99999,73092,,, - ,,, - ,,, - ,,
,Jh hdpe jaket celana,,,JAS HUJAN HDPE,,,6125,8000,,, - ,,, - ,,, - ,,, - ,,
,JH sniper,,,JAS HUJAN HDPE,,,3480,5500,12,119,4750,120,479,4625,480,99999,4480,,, - ,,
,JH tiga saudara,,,JAS HUJAN HDPE,,,3480,5500,12,119,4750,120,479,4625,480,99999,4480,,, - ,,
,Bell br Htm Sp Jb,,,KANTONG KRESEK,,,51051,65000,10,24,63395,25,99999,62312,,, - ,,, - ,,
,Bell br Pth Sp Jb,,,KANTONG KRESEK,,,51051,65000,10,24,63395,25,99999,62312,,, - ,,, - ,,
,Bell hj Htm sp,,,KANTONG KRESEK,,,19508,26000,10,29,25250,30,59,25043,,,24836,,, - ,,
,Bell hj Pth sp,,,KANTONG KRESEK,,,19508,26000,10,29,25250,30,59,25043,,,24836,,, - ,,
,Bell Kng pth sp,,,KANTONG KRESEK,,,17802,23000,10,29,22370,30,59,22187,,,22003,,, - ,,
,Camar Wrn Bsr,,,KANTONG KRESEK,,,6691,8500,10,29,7996,30,124,7834,,,7729,,, - ,,
,Camar Wrn Tg,,,KANTONG KRESEK,,,6691,8500,10,29,7996,30,124,7834,,,7729,,, - ,,
,Deal bng Bsr,,,KANTONG KRESEK,,,5418,7000,10,29,6555,30,139,6388,,,6222,,, - ,,
,Deal bng Kcl,,,KANTONG KRESEK,,,5418,7000,10,29,6555,30,139,6388,,,6222,,, - ,,
,Deal bng Tg,,,KANTONG KRESEK,,,5418,7000,10,29,6555,30,139,6388,,,6222,,, - ,,
,Idola wrn sp jb,,,KANTONG KRESEK,,,30522,36000,10,24,35000,25,99999,34000,,, - ,,, - ,,
,Kresek dos 28x48 polos,,,KANTONG KRESEK,,,12600,17000,10,29,15500,30,149,15086,,,14700,,, - ,,
,Kresek im dos 28x48,,,KANTONG KRESEK,,,11835,17000,10,29,15500,30,149,15086,,,14700,,, - ,,
,Kresek tic tas dos 20&22 bening PE,,,KANTONG KRESEK,,,22938,30000,10,29,28927,30,99999,27722,,, - ,,, - ,,
,Laku htm Bsr,,,KANTONG KRESEK,,,9100,11000,10,29,10465,30,99,10238,,,10010,,, - ,,
,Laku htm Kcl,,,KANTONG KRESEK,,,3991,5000,10,29,4789,30,199,4590,,,4390,,, - ,,
,Laku htm Tg,,,KANTONG KRESEK,,,5747,7500,10,29,6896,30,149,6609,,,6322,,, - ,,
,Laku pth Bsr,,,KANTONG KRESEK,,,9100,11000,10,29,10465,30,99,10238,,,10010,,, - ,,
,Laku Pth Kcl,,,KANTONG KRESEK,,,3991,5000,10,29,4789,30,199,4590,,,4390,,, - ,,
,Laku pth Tg,,,KANTONG KRESEK,,,5747,7500,10,29,6896,30,149,6609,,,6322,,, - ,,
,Los Laku Wrn Bsr,,,KANTONG KRESEK,,,11330,13000,20,49,12375,50,99999,12072,,, - ,,, - ,,
,Los Laku Wrn Kcl,,,KANTONG KRESEK,,,11330,13000,20,49,12375,50,99999,12072,,, - ,,, - ,,
,Los Laku Wrn Tg,,,KANTONG KRESEK,,,11330,13000,20,49,12375,50,99999,12072,,, - ,,, - ,,
,Los mrk wrn Bsr,,,KANTONG KRESEK,,,9450,12000,20,49,11400,50,99999,11000,,, - ,,, - ,,
,Los mrk wrn Kcl,,,KANTONG KRESEK,,,9450,12000,20,49,11400,50,99999,11000,,, - ,,, - ,,
,Los mrk wrn Tg,,,KANTONG KRESEK,,,9450,12000,20,49,11400,50,99999,11000,,, - ,,, - ,,
,Los prisma Htm Bsr,,,KANTONG KRESEK,,,8498,10000,20,49,9315,50,99999,9048,,, - ,,, - ,,
,Los prisma Htm Kcl,,,KANTONG KRESEK,,,8498,10000,20,49,9315,50,99999,9048,,, - ,,, - ,,
,Los prisma Htm Tg,,,KANTONG KRESEK,,,8498,10000,20,49,9315,50,99999,9048,,, - ,,, - ,,
,Los prisma pth bsr,,,KANTONG KRESEK,,,12103,14000,20,49,13475,50,99999,13162,,, - ,,, - ,,
,Los prisma pth kcl,,,KANTONG KRESEK,,,12103,14000,20,49,13475,50,99999,13162,,, - ,,, - ,,
,Los prisma pth tg,,,KANTONG KRESEK,,,12103,14000,20,49,13475,50,99999,13162,,, - ,,, - ,,
,Mercu kng Jb,,,KANTONG KRESEK,,,18349,22000,10,29,21100,30,39,20450,40,99999, - ,,, - ,,
,Mesem Htm Jb,,,KANTONG KRESEK,,,17729,23000,10,29,20972,30,39,20707,40,99999,20353,,, - ,,
,Mesem Htm Sp,,,KANTONG KRESEK,,,16025,21000,10,29,19322,30,44,19087,45,99999,18761,,, - ,,
,Mesem Pth Jb,,,KANTONG KRESEK,,,19027,25000,10,29,23403,30,34,23118,35,99999,22832,,, - ,,
,Mesem Pth Sp,,,KANTONG KRESEK,,,16025,22000,10,29,20066,30,44,19822,45,99999,19577,,, - ,,
,Pluit Merah Jb,,,KANTONG KRESEK,,,15391,18500,10,29,17700,30,59,17238,60,99999,16776,,,16161,,
,Pluit Ungu Sp,,,KANTONG KRESEK,,,9082,11000,10,29,10443,30,99,10216,100,99999,9989,,, - ,,
,Sniper Kng Htm Jb,,,KANTONG KRESEK,,,10675,13500,10,29,12703,30,59,12490,60,99999,12276,,, - ,,
,Sniper Lorek Hj Sp,,,KANTONG KRESEK,,,6547,9500,10,29,8241,30,119,7973,120,99999,7705,,, - ,,
,Sparta Bng Kcl,,,KANTONG KRESEK,,,1996,2500,10,29,2395,30,399,2345,400,99999,2295,,, - ,,
,Tic tas bening PE Kcl,,,KANTONG KRESEK,,,7900,11000,10,29,9962,30,119,9755,120,99999,9547,,, - ,,
,Tic tas bening PE Tg,,,KANTONG KRESEK,,,16859,22000,10,29,20731,30,49,20299,50,99999,19867,,, - ,,
,Tic tas Br Bsr,,,KANTONG KRESEK,,,9464,13000,10,29,12249,30,119,12148,120,99999,12048,,, - ,,
,Tic tas br Htm Jb,,,KANTONG KRESEK,,,35770,45500,10,29,44402,30,99999,43643,,, - ,,, - ,,
,Tic tas Br Kcl,,,KANTONG KRESEK,,,4064,5500,10,29,5305,30,319,5240,320,99999,5176,,, - ,,
,Tic tas br Pth Jb,,,KANTONG KRESEK,,,35770,45500,10,29,44402,30,99999,43643,,, - ,,, - ,,
,Tic tas Br Tg,,,KANTONG KRESEK,,,6146,8500,10,29,8020,30,179,7922,180,99999,7824,,, - ,,
,Tic tas dos 24/25 Kng,,,KANTONG KRESEK,,,30211,36500,10,29,35896,30,39,35255,40,99999,34614,,, - ,,
,Tic tas Mrh Bsr,,,KANTONG KRESEK,,,12129,16500,10,29,15700,30,99,15571,100,99999,15443,,, - ,,
,Tic tas Mrh Kcl,,,KANTONG KRESEK,,,5679,8000,10,29,7410,30,249,7319,250,99999,7229,,, - ,,
,Tic tas Mrh Tg,,,KANTONG KRESEK,,,9130,12500,10,29,11913,30,149,11767,150,99999,11622,,, - ,,
